Tissue,Gln_mean,Glu_mean,Gluc_mean,Lac_mean,NH4._mean,Na._mean,K._mean,Gln_se,Glu_se,Gluc_se,Lac_se,NH4._se,Na._se,K._se
hWA,-0.445537571,0.024095269,-4.603586041,0.465332535,0.395443936,-16.33465211,-0.355877536,0.043699059,0.002081988,0.463493141,0.045936548,0.064723588,3.148363221,0.115104931
hBA,-1.219799084,0.020698446,-14.18516302,-0.141475406,0.110875697,-54.80133873,-1.708479926,0.175501172,0.006420445,2.004165899,0.185953229,0.05649228,10.37231376,0.333385142
